bit_width,beta,n,score_drift_mse,mean_abs_dsigma,flip_rate,auc,inv_eps_b
24,0.0,2000,0.0,0.0,0.0,0.851571,9.900990099009901
24,0.1,16000,4.1569014085164046e-05,0.003003471380129991,0.0090625,0.851628296875,9.950248756218905
24,0.2,16000,0.00017514208770945294,0.006184082481751579,0.01475,0.851263546875,9.9626400996264
24,0.3,16000,0.0004295214249827126,0.009714479467929733,0.021625,0.849175,9.7799511002445
24,0.4,16000,0.0008594283754240132,0.01386838714590757,0.02975,0.84676878125,9.59232613908873
24,0.5,16000,0.001571691578417431,0.01904259253827648,0.0383125,0.842509453125,9.25925925925926
24,0.6,16000,0.0027674635210385664,0.025833541925831826,0.0551875,0.835245953125,8.658008658008658
24,0.7,16000,0.004979650709094537,0.03559492884398053,0.0750625,0.822921921875,7.874015748031496
24,0.8,16000,0.009104520491432908,0.05042467731335925,0.10075,0.80221221875,6.745362563237775
24,0.9,16000,0.019099771456240533,0.07870409833777677,0.1600625,0.750146,5.111821086261981
24,0.95,16000,0.03210970846174156,0.10792093180079738,0.2293125,0.67469721875,3.9820806371329023
